ΤΚ,Περιοχή,Ζώνη,"Συνολική κατανάλωση","Ημέρες κατανάλωσης","Μέση ημερήσια κατανάλωση","Πλήθος παροχών","Μήνας κατανάλωσης"
11741,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση A",29,1648,0.00,55,03/2022
11741,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Β",228,900,0.30,30,03/2022
11741,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Γ",240,360,0.70,12,03/2022
11741,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Δ",370,240,1.50,8,03/2022
11741,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Ε",662,60,11.00,2,03/2022
11741,ΦΙΛΟΠΑΠΠΟΥ,"Κλάση A","1,084",37200,0.00,1240,03/2022
11741,ΦΙΛΟΠΑΠΠΟΥ,"Κλάση Β","12,191",51120,0.20,1704,03/2022
11741,ΦΙΛΟΠΑΠΠΟΥ,"Κλάση Γ","3,886",6180,0.60,206,03/2022
11741,ΦΙΛΟΠΑΠΠΟΥ,"Κλάση Δ",609,360,1.70,12,03/2022
11742,ΒΕΙΚΟΥ,"Κλάση A",915,31501,0.00,1057,03/2022
11742,ΒΕΙΚΟΥ,"Κλάση Β","8,984",38907,0.20,1297,03/2022
11742,ΒΕΙΚΟΥ,"Κλάση Γ","2,673",4140,0.60,138,03/2022
11742,ΒΕΙΚΟΥ,"Κλάση Δ","2,660",1410,1.90,47,03/2022
11742,ΒΕΙΚΟΥ,"Κλάση Ε","1,462",180,8.10,6,03/2022
11742,ΚΟΥΚΑΚΙ,"Κλάση A",488,15500,0.00,519,03/2022
11742,ΚΟΥΚΑΚΙ,"Κλάση Β","4,783",20049,0.20,669,03/2022
11742,ΚΟΥΚΑΚΙ,"Κλάση Γ",981,1469,0.70,49,03/2022
11742,ΚΟΥΚΑΚΙ,"Κλάση Δ","1,461",630,2.30,21,03/2022
11742,ΚΟΥΚΑΚΙ,"Κλάση Ε",606,43,14.10,2,03/2022
11742,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση A",515,19228,0.00,649,03/2022
11742,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Β","4,850",19950,0.20,665,03/2022
11742,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Γ","1,680",2369,0.70,79,03/2022
11742,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Δ","2,972",1590,1.90,53,03/2022
11742,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Ε","1,118",150,7.50,5,03/2022
11743,ΒΕΙΚΟΥ,"Κλάση A",186,6210,0.00,207,03/2022
11743,ΒΕΙΚΟΥ,"Κλάση Β","1,511",6360,0.20,212,03/2022
11743,ΒΕΙΚΟΥ,"Κλάση Γ",297,450,0.70,15,03/2022
11743,ΒΕΙΚΟΥ,"Κλάση Ε",632,90,7.00,3,03/2022
11743,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση A",173,5262,0.00,244,03/2022
11743,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Β","1,370",5851,0.20,197,03/2022
11743,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Γ",322,532,0.60,18,03/2022
11743,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Δ",160,89,1.80,3,03/2022
11743,"ΒΕΙΚΟΥ ΜΑΚΡΥΓΙΑΝΝΗ","Κλάση Ε",756,58,13.00,2,03/2022
11743,ΓΟΥΒΑ,"Κλάση A",157,4650,0.00,155,03/2022
11743,ΓΟΥΒΑ,"Κλάση Β","1,987",8250,0.20,275,03/2022
11743,ΓΟΥΒΑ,"Κλάση Γ",486,840,0.60,28,03/2022
11743,ΓΟΥΒΑ,"Κλάση Δ",67,60,1.10,2,03/2022
11743,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση A","2,622",87651,0.00,4738,03/2022
11743,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Β","31,379",130930,0.20,4370,03/2022
11743,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Γ","7,730",12571,0.60,420,03/2022
11743,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Δ","2,097",1167,1.80,39,03/2022
11743,ΚΥΝΟΣΑΡΓΟΥΣ,"Κλάση Ε","1,483",90,16.50,3,03/2022
11743,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση A",113,4260,0.00,142,03/2022
11743,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Β","1,413",6150,0.20,205,03/2022
11743,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Γ",267,420,0.60,14,03/2022
11743,"ΚΥΝΟΣΑΡΓΟΥΣ ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Δ",178,90,2.00,3,03/2022
11743,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση A",166,5400,0.00,190,03/2022
11743,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Β","1,079",4770,0.20,159,03/2022
11743,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Γ",350,570,0.60,19,03/2022
11743,ΜΑΚΡΥΓΙΑΝΝΗ,"Κλάση Δ",518,300,1.70,10,03/2022
11743,ΜΕΤΣ,"Κλάση A",124,5058,0.00,199,03/2022
11743,ΜΕΤΣ,"Κλάση Β","1,279",5457,0.20,182,03/2022
11743,ΜΕΤΣ,"Κλάση Γ",359,570,0.60,19,03/2022
11743,ΜΕΤΣ,"Κλάση Δ",324,180,1.80,6,03/2022
11743,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση A",71,1908,0.00,70,03/2022
11743,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Β",955,3588,0.30,128,03/2022
11743,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Γ",286,471,0.60,16,03/2022
11743,"ΝΕΟΣ ΚΟΣΜΟΣ","Κλάση Δ",215,120,1.80,4,03/2022
11744,"ΑΓ. ΓΕΩΡΓΙΟΣ","Κλάση A",913,27556,0.00,1877,03/2022
11744,"ΑΓ. ΓΕΩΡΓΙΟΣ","Κλάση Β","12,380",47611,0.30,1660,03/2022
10431,ΚΕΝΤΡΟ,"Κλάση A",151,9725,0.00,481,03/2022
10431,ΚΕΝΤΡΟ,"Κλάση Β","1,344",5186,0.30,177,03/2022
10431,ΚΕΝΤΡΟ,"Κλάση Γ","1,662",2378,0.70,80,03/2022
10431,ΚΕΝΤΡΟ,"Κλάση Δ","2,324",1384,1.70,47,03/2022
10431,ΚΕΝΤΡΟ,"Κλάση Ε","1,438",178,8.10,6,03/2022
10432,ΚΕΝΤΡΟ,"Κλάση A",307,20078,0.00,933,03/2022
10432,ΚΕΝΤΡΟ,"Κλάση Β","1,422",6046,0.20,207,03/2022
10432,ΚΕΝΤΡΟ,"Κλάση Γ","1,140",1663,0.70,57,03/2022
10432,ΚΕΝΤΡΟ,"Κλάση Δ","2,150",1242,1.70,43,03/2022
10432,ΚΕΝΤΡΟ,"Κλάση Ε","1,763",179,9.80,6,03/2022
10432,ΜΟΥΣΕΙΟ,"Κλάση A",50,2361,0.00,87,03/2022
10432,ΜΟΥΣΕΙΟ,"Κλάση Β",237,1056,0.20,43,03/2022
10432,ΜΟΥΣΕΙΟ,"Κλάση Γ",127,179,0.70,8,03/2022
10432,ΜΟΥΣΕΙΟ,"Κλάση Δ",89,65,1.40,4,03/2022
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",162,9480,0.00,448,03/2022
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,263",5109,0.20,198,03/2022
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ",575,820,0.70,42,03/2022
10432,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,559",856,1.80,33,03/2022
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση A",41,1262,0.00,48,03/2022
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Β",207,841,0.20,34,03/2022
10433,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Γ",8,14,0.60,2,03/2022
10433,ΚΕΝΤΡΟ,"Κλάση A",27,1307,0.00,63,03/2022
10433,ΚΕΝΤΡΟ,"Κλάση Β",120,464,0.30,16,03/2022
10433,ΚΕΝΤΡΟ,"Κλάση Δ",66,58,1.10,2,03/2022
10433,ΜΟΥΣΕΙΟ,"Κλάση A",112,5746,0.00,209,03/2022
10433,ΜΟΥΣΕΙΟ,"Κλάση Β",710,2953,0.20,118,03/2022
10433,ΜΟΥΣΕΙΟ,"Κλάση Γ",256,364,0.70,19,03/2022
10433,ΜΟΥΣΕΙΟ,"Κλάση Δ",73,67,1.10,3,03/2022
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",592,27066,0.00,1104,03/2022
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","4,913",20676,0.20,809,03/2022
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,431",2180,0.70,108,03/2022
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,139",763,1.50,35,03/2022
10433,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Ε",320,57,5.60,2,03/2022
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",523,22935,0.00,882,03/2022
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β","4,435",18352,0.20,734,03/2022
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ","1,917",2899,0.70,139,03/2022
10433,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Δ",889,581,1.50,30,03/2022
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A",335,14608,0.00,489,03/2022
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","3,026",12412,0.20,414,03/2022
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ","1,400",2131,0.70,72,03/2022
10434,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ",570,360,1.60,12,03/2022
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση A",333,16769,0.00,563,03/2022
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Β","3,728",15807,0.20,527,03/2022
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Γ","1,290",1980,0.70,66,03/2022
10434,ΑΓΓΕΛΟΠΟΥΛΟΥ,"Κλάση Δ","1,291",660,2.00,22,03/2022
10434,ΜΟΥΣΕΙΟ,"Κλάση A",81,3210,0.00,107,03/2022
10434,ΜΟΥΣΕΙΟ,"Κλάση Β",577,2490,0.20,83,03/2022
10434,ΜΟΥΣΕΙΟ,"Κλάση Γ",102,180,0.60,6,03/2022
10434,ΟΤΕ,"Κλάση A",141,4800,0.00,162,03/2022
10434,ΟΤΕ,"Κλάση Β",721,3164,0.20,106,03/2022
10434,ΟΤΕ,"Κλάση Γ",509,794,0.60,27,03/2022
10434,ΟΤΕ,"Κλάση Δ",412,210,2.00,7,03/2022
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση A",139,6854,0.00,229,03/2022
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση Β","1,248",5250,0.20,175,03/2022
10434,"ΠΕΔΙΟΝ ΑΡΕΩΣ","Κλάση Γ",366,540,0.70,18,03/2022
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",980,45661,0.00,1532,03/2022
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β","8,985",38408,0.20,1282,03/2022
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ","3,123",4712,0.70,158,03/2022
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Δ","1,603",889,1.80,30,03/2022
10434,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Ε",563,90,6.30,3,03/2022
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",14,691,0.00,24,03/2022
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β",238,950,0.30,32,03/2022
10434,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ",151,240,0.60,8,03/2022
10435,ΚΕΝΤΡΟ,"Κλάση A",55,2880,0.00,97,03/2022
10435,ΚΕΝΤΡΟ,"Κλάση Β",846,3390,0.20,113,03/2022
10435,ΚΕΝΤΡΟ,"Κλάση Γ",380,570,0.70,19,03/2022
10435,ΚΕΝΤΡΟ,"Κλάση Δ",116,60,1.90,2,03/2022
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A",961,40604,0.00,1358,03/2022
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","10,884",44982,0.20,1500,03/2022
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ","3,402",5173,0.70,173,03/2022
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ","2,349",1380,1.70,46,03/2022
10435,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε",619,90,6.90,3,03/2022
10436,ΚΕΝΤΡΟ,"Κλάση A",32,1350,0.00,45,03/2022
10436,ΚΕΝΤΡΟ,"Κλάση Β",218,960,0.20,32,03/2022
10436,ΚΕΝΤΡΟ,"Κλάση Γ",186,270,0.70,9,03/2022
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A",747,33025,0.00,1111,03/2022
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","6,941",28490,0.20,950,03/2022
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ","2,689",4027,0.70,135,03/2022
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ","2,155",1086,2.00,37,03/2022
10436,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε",962,120,8.00,4,03/2022
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",51,1833,0.00,72,03/2022
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β",408,1679,0.20,59,03/2022
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ",60,89,0.70,5,03/2022
10437,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Δ",35,33,1.10,4,03/2022
10437,ΚΕΝΤΡΟ,"Κλάση A",449,25364,0.00,983,03/2022
10437,ΚΕΝΤΡΟ,"Κλάση Β","3,518",13828,0.30,464,03/2022
10437,ΚΕΝΤΡΟ,"Κλάση Γ","2,384",3576,0.70,120,03/2022
10437,ΚΕΝΤΡΟ,"Κλάση Δ","2,598",1460,1.80,49,03/2022
10437,ΚΕΝΤΡΟ,"Κλάση Ε","1,135",118,9.60,4,03/2022
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση A",150,10682,0.00,362,03/2022
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Β","1,652",6507,0.30,217,03/2022
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Γ",843,1290,0.70,43,03/2022
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Δ",890,450,2.00,15,03/2022
10437,ΜΕΤΑΞΟΥΡΓΕΙΟ,"Κλάση Ε",872,60,14.50,2,03/2022
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",81,3656,0.00,413,03/2022
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β",810,3359,0.20,118,03/2022
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ",410,644,0.60,25,03/2022
10437,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ","1,054",401,2.60,14,03/2022
10437,"ΠΛΑΤΕΙΑ ΚΑΡΑΙΣΚΑΚΗ","Κλάση A",3,116,0.00,5,03/2022
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",433,18386,0.00,1039,03/2022
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β","4,689",19909,0.20,750,03/2022
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ","1,503",2232,0.70,103,03/2022
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Δ",695,394,1.80,20,03/2022
10438,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Ε",189,31,6.10,2,03/2022
10438,ΒΑΘΗΣ,"Κλάση A",506,24207,0.00,1210,03/2022
10438,ΒΑΘΗΣ,"Κλάση Β","5,222",20927,0.20,809,03/2022
10438,ΒΑΘΗΣ,"Κλάση Γ","1,799",2736,0.70,132,03/2022
10438,ΒΑΘΗΣ,"Κλάση Δ",712,480,1.50,24,03/2022
10438,ΒΑΘΗΣ,"Κλάση Ε","1,054",55,19.20,2,03/2022
10438,ΚΕΝΤΡΟ,"Κλάση A",10,554,0.00,34,03/2022
10438,ΚΕΝΤΡΟ,"Κλάση Β",59,261,0.20,9,03/2022
10438,ΚΕΝΤΡΟ,"Κλάση Γ",84,87,1.00,3,03/2022
10438,ΚΕΝΤΡΟ,"Κλάση Δ",200,117,1.70,4,03/2022
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",171,6574,0.00,445,03/2022
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","1,453",6035,0.20,221,03/2022
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ","1,027",1512,0.70,64,03/2022
10438,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ",696,513,1.40,22,03/2022
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A",273,11428,0.00,430,03/2022
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","2,357",9920,0.20,408,03/2022
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ",924,1418,0.70,72,03/2022
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ",514,338,1.50,22,03/2022
10439,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Ε",581,85,6.80,4,03/2022
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση A",289,11445,0.00,591,03/2022
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Β","2,779",11263,0.20,408,03/2022
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Γ",681,1107,0.60,45,03/2022
10439,"ΑΓ. ΠΑΥΛΟΣ","Κλάση Δ",173,118,1.50,4,03/2022
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση A",115,4859,0.00,182,03/2022
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Β","1,094",4310,0.30,165,03/2022
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Γ",235,409,0.60,23,03/2022
10439,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Δ",92,72,1.30,4,03/2022
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση A",223,10119,0.00,396,03/2022
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Β","2,231",8720,0.30,357,03/2022
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Γ",975,1505,0.60,78,03/2022
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Δ",497,363,1.40,21,03/2022
10439,"ΠΛΑΤΕΙΑ ΒΑΘΗΣ","Κλάση Ε",705,57,12.40,3,03/2022
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",42,1788,0.00,64,03/2022
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β",249,907,0.30,41,03/2022
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ",103,176,0.60,10,03/2022
10439,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Δ",88,85,1.00,3,03/2022
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",549,21041,0.00,832,03/2022
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β","4,904",19859,0.20,787,03/2022
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ","1,480",2291,0.60,109,03/2022
10439,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ",498,292,1.70,16,03/2022
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση A","1,081",46376,0.00,1552,03/2022
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Β","11,329",47220,0.20,1575,03/2022
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Γ","2,868",4559,0.60,153,03/2022
10440,"ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ","Κλάση Δ",874,509,1.70,17,03/2022
10440,ΑΘΗΝΑ,"Κλάση A",19,1080,0.00,37,03/2022
10440,ΑΘΗΝΑ,"Κλάση Β",269,1169,0.20,39,03/2022
10440,ΑΘΗΝΑ,"Κλάση Γ",141,210,0.70,7,03/2022
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση A",818,34631,0.00,1159,03/2022
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Β","8,717",35015,0.20,1168,03/2022
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Γ","2,049",3218,0.60,108,03/2022
10440,"ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ","Κλάση Δ","1,121",686,1.60,23,03/2022
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση A",103,5289,0.00,177,03/2022
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Β","1,246",4683,0.30,157,03/2022
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Γ",550,900,0.60,30,03/2022
10440,"ΠΛΑΤΕΙΑ ΒΙΚΤΩΡΙΑΣ","Κλάση Δ",177,76,2.30,3,03/2022
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση A",343,14426,0.00,483,03/2022
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Β","3,392",13950,0.20,465,03/2022
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Γ","1,408",2120,0.70,71,03/2022
10440,"ΣΤΑΘΜΟΣ ΛΑΡΙΣΗΣ","Κλάση Δ",863,507,1.70,17,03/2022
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση A","1,328",56928,0.00,5555,03/2022
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Β","17,948",70442,0.30,2384,03/2022
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Γ","5,412",8876,0.60,303,03/2022
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Δ","1,526",829,1.80,31,03/2022
10441,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Ε",745,89,8.40,3,03/2022
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση A",10,510,0.00,27,03/2022
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση Β",112,600,0.20,20,03/2022
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση Γ",63,90,0.70,3,03/2022
10441,"ΠΡΟΦ. ΔΑΝΙΗΛ","Κλάση Δ",63,60,1.10,2,03/2022
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση A",643,25475,0.00,2267,03/2022
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Β","9,426",37006,0.30,1241,03/2022
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Γ","2,926",4652,0.60,159,03/2022
10442,"ΑΚΑΔ. ΠΛΑΤΩΝΟΣ","Κλάση Δ","1,074",558,1.90,19,03/2022
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση A",204,7919,0.00,1036,03/2022
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Β","3,261",12406,0.30,422,03/2022
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Γ","1,326",2071,0.60,72,03/2022
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Δ",723,369,2.00,15,03/2022
10442,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Ε","1,042",150,6.90,5,03/2022
10442,ΚΟΛΩΝΟΣ,"Κλάση A",12,270,0.00,46,03/2022
10442,ΚΟΛΩΝΟΣ,"Κλάση Β",150,461,0.30,16,03/2022
10442,ΚΟΛΩΝΟΣ,"Κλάση Γ",64,90,0.70,3,03/2022
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση A",921,28942,0.00,2829,03/2022
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Β","14,749",55651,0.30,2055,03/2022
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Γ","4,528",7416,0.60,300,03/2022
10443,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση Δ","1,167",684,1.70,31,03/2022
10443,ΚΟΛΩΝΟΣ,"Κλάση A",240,8081,0.00,1249,03/2022
10443,ΚΟΛΩΝΟΣ,"Κλάση Β","4,091",15743,0.30,539,03/2022
10443,ΚΟΛΩΝΟΣ,"Κλάση Γ","1,201",1922,0.60,66,03/2022
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση A",730,24204,0.00,1370,03/2022
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Β","10,165",38759,0.30,1431,03/2022
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Γ","3,081",5124,0.60,206,03/2022
10443,"ΛΟΦΟΣ ΣΚΟΥΖΕ","Κλάση Δ",446,291,1.50,12,03/2022
10443,ΣΕΠΟΛΙΑ,"Κλάση A","2,393",82510,0.00,3492,03/2022
10443,ΣΕΠΟΛΙΑ,"Κλάση Β","35,843",136061,0.30,5083,03/2022
10443,ΣΕΠΟΛΙΑ,"Κλάση Γ","11,479",18638,0.60,790,03/2022
10443,ΣΕΠΟΛΙΑ,"Κλάση Δ","2,583",1599,1.60,72,03/2022
10443,ΣΕΠΟΛΙΑ,"Κλάση Ε",175,30,5.80,2,03/2022
10444,ΚΟΛΟΚΥΝΘΟΥ,"Κλάση A",5,58,0.10,2,03/2022
